ocel:oid,ocel:type
Kind of summertime recipes,ocel:type:items_text
person,ocel:type:items_image
bowl,ocel:type:items_image
laptop,ocel:type:items_image
Majority,ocel:type:items_text
oven,ocel:type:items_image
Salads,ocel:type:items_text
Two favorite summertime salads,ocel:type:items_text
Cooked Yukon Gold potatoes,ocel:type:items_text
Cucumbers,ocel:type:items_text
Salads to barbecue,ocel:type:items_text
Red onion,ocel:type:items_text
donut,ocel:type:items_image
Herbs,ocel:type:items_text
Tahini dressing,ocel:type:items_text
knife,ocel:type:items_image
banana,ocel:type:items_image
Whole grain mustard,ocel:type:items_text
Lemon juice,ocel:type:items_text
lemon zest,ocel:type:items_text
fresh grated ginger,ocel:type:items_text
dining table,ocel:type:items_image
Olive oil,ocel:type:items_text
Dressing,ocel:type:items_text
Salad,ocel:type:items_text
toothbrush,ocel:type:items_image
sesame seeds,ocel:type:items_text
Salad ahead,ocel:type:items_text
